Date,Symbol,Type,Side,Price,Qty,Leverage,Stop Loss,Take Profit,Exit Price,PnL,Fees,Notes
22 Aug 2025,ETHUSDT,Futures,Long,4577.68,0.02,10,4427.68,4727.68,4601.41,0.36,-0.11014908,1st trade as market in
22 Aug 2025,BTCUSDT,Futures,Long,116987.10,0.0004,10,113237.10,124487.10,117287.20,0.06,-0.05622583,by youtube
24 Aug 2025,ETHUSDT,Futures,Short,4763.80,0.01,10,4838.80,4538.80,4747.50,0.11,-0.0570678,by ema signals
24 Aug 2025,BTCUSDT,Futures,Long,114516.70,0.0006,10,112016.70,117016.70,114500.1,-0.03,-0.08248204,By youtube
25 Aug 2025,ETHUSDT,Futures,Long,4590.30,0.03,10,4580.30,4690.30,4626.18,0.91,-0.16589664,by ema signals
25 Aug 2025,ETHUSDT,Futures,Long,4638.70,0.03,10,4538.70,4738.70,4537.77,-3.19,-0.16517646,"by ema signals(over looked) ignored the profit that booked loss"
25 Aug 2025,BTCUSDT,Futures,Long,112713.40,0.0008,10,110838.40,114588.40,110836.00,-1.61,-0.10730371,by youtube
26 Aug 2025,ETHUSDT,Futures,Long,4396.94,0.02,10,4321.94,4471.94,4420.42,0.36,-0.10580832,by ema signals
26 Aug 2025,BTCUSDT,Futures,Long,110112.40,0.0007,10,107969.53,111183.83,110330.20,0.06,-0.09258589,by ema signal risky trade
29 Aug 2025,ETHUSDT,Futures,Long,4329.75,0.03,10,4279.75,4429.75,4342.02,0.21,-0.15609186,by ema signal
31 Aug 2025,ETHUSDT,Futures,Long,4453.01,0.02,10,4303.01,4753.01,4459.57,0.02,-0.10695096,
13 Sep 2025,ETHUSDT,Futures,Short,4692.99,0.04,10,4730.49,4617.99,4653.01,1.37,-0.224304,
23 Sep 2025,ETHUSDT,Futures,Long,4200.15,0.04,10,4162.65,4275.15,4221.35,0.65,-0.202116,
23 Sep 2025,ETHUSDT,Futures,Short,4003.98,0.04,10,4153.98,3703.98,4001.00,-0.07,-0.19211952,
25 Sep 2025,ETHUSDT,Futures,Long,4001.00,0.04,10,3963.50,4076.00,4000.71,-0.20,-0.19204104,
25 Sep 2025,ETHUSDT,Futures,Long,3875.22,0.05,10,3845.22,3935.22,3833.79,-2.30,-0.2312703,
26 Sep 2025,ETHUSDT,Futures,Long,3942.52,0.04,10,3905.02,4017.52,3954.77,0.30,-0.18953496,
26 Sep 2025,ETHUSDT,Futures,Long,3962.24,0.05,10,3932.24,4022.24,3976.08,0.45,-0.2381496,
26 Sep 2025,ETHUSDT,Futures,Long,4015.32,0.03,10,3965.32,4115.32,4026.96,0.20,-0.14476104,
