ID,Symbol,Type,Side,Entry,Exit,Qty,Fees,PnL,Setup,Mistake,OpenTime,CloseTime
1781188325299.1458,ETHUSDT,Spot,Long,3540,3718.35,0.0113,-0.04921161299999999,2.02,BREAKOUT,None,25 Jul 25,25 Jul 25
1781188325299.8372,ETHUSDT,Spot,Long,3529,3891,0.0122,-0.0543144,4.42,BREAKOUT,None,8 Aug 25,8 Aug 25
1781190860756.0408,ETHUSDT,Futures,Long,4577.68,4601.41,0.02,-0.11014908,0.36,BREAKOUT,None,22 Aug 25,22 Aug 25
1781190860756.2896,BTCUSDT,Futures,Long,116987.1,117287.2,0.0004,-0.05622583,0.06,BREAKOUT,None,22 Aug 25,22 Aug 25
1781190860756.8926,ETHUSDT,Futures,Short,4763.8,4747.5,0.01,-0.0570678,0.11,BREAKOUT,None,24 Aug 25,24 Aug 25
1781190860756.491,ETHUSDT,Futures,Long,4590.3,4626.18,0.03,-0.16589664,0.91,BREAKOUT,None,25 Aug 25,25 Aug 25
1781190860756.633,ETHUSDT,Futures,Long,4396.94,4420.42,0.02,-0.10580832,0.36,BREAKOUT,None,26 Aug 25,26 Aug 25
1781190860756.3865,BTCUSDT,Futures,Long,110112.4,110330.2,0.0007,-0.09258589,0.06,BREAKOUT,None,26 Aug 25,26 Aug 25
1781190860756.387,ETHUSDT,Futures,Long,4329.75,4342.02,0.03,-0.15609186,0.21,BREAKOUT,None,29 Aug 25,29 Aug 25
1781190860756.2744,ETHUSDT,Futures,Long,4453.01,4459.57,0.02,-0.10695096,0.02,BREAKOUT,None,31 Aug 25,31 Aug 25
1781190860756.5088,ETHUSDT,Futures,Short,4692.99,4653.01,0.04,-0.224304,1.37,BREAKOUT,None,13 Sep 25,13 Sep 25
1781190860756.847,ETHUSDT,Futures,Long,4200.15,4221.35,0.04,-0.202116,0.65,BREAKOUT,None,23 Sep 25,23 Sep 25
1781188325299.709,GUSDT,Spot,Long,0,3.7115,0.79,0,2.93,BREAKOUT,None,25 Sep 25,25 Sep 25
1781190860756.9258,ETHUSDT,Futures,Long,3942.52,3954.77,0.04,-0.18953496,0.3,BREAKOUT,None,26 Sep 25,26 Sep 25
1781190860756.73,ETHUSDT,Futures,Long,3962.24,3976.08,0.05,-0.2381496,0.45,BREAKOUT,None,26 Sep 25,26 Sep 25
1781190860756.599,ETHUSDT,Futures,Long,4015.32,4026.96,0.03,-0.14476104,0.2,BREAKOUT,None,26 Sep 25,26 Sep 25
1781188325299.6506,XPLUSDT,Spot,Long,0,1.45846,1.03,0,1.5,BREAKOUT,None,28 Sep 25,28 Sep 25
